date,tmpc,relh,year
1944-01-01,9.058333333333334,70.07583333333334,1944
1944-01-02,10.579166666666667,71.3325,1944
1944-01-03,11.799999999999999,72.93291666666666,1944
1944-01-04,12.704166666666666,74.32875,1944
1944-01-05,9.174999999999999,75.74083333333333,1944
1944-01-06,6.408333333333334,73.6575,1944
1944-01-07,7.8999999999999995,68.63666666666667,1944
1944-01-08,9.4125,75.61041666666667,1944
1944-01-09,8.429166666666667,76.22666666666667,1944
1944-01-10,9.145833333333334,74.33708333333333,1944
1944-01-11,10.629166666666666,82.55458333333333,1944
1944-01-12,12.245833333333332,84.755,1944
1944-01-13,12.520833333333334,83.18291666666666,1944
1944-01-14,12.770833333333334,81.82166666666667,1944
1944-01-15,11.683333333333332,82.01458333333333,1944
1944-01-16,11.820833333333333,76.8925,1944
1944-01-17,10.295833333333333,75.93333333333332,1944
1944-01-18,10.3125,83.02708333333332,1944
1944-01-19,10.770833333333334,83.25958333333334,1944
1944-01-20,11.366666666666667,84.33791666666666,1944
1944-01-21,11.625,81.47125,1944
1944-01-22,10.908333333333333,83.64791666666666,1944
1944-01-23,10.295833333333333,84.37625,1944
1944-01-24,10.695833333333333,81.39625,1944
1944-01-25,12.579166666666666,73.09875000000001,1944
1944-01-26,13.158333333333333,66.5,1944
1944-01-27,12.683333333333332,66.91791666666667,1944
1944-01-28,12.804166666666667,75.38875,1944
1944-01-29,10.887500000000001,78.90291666666667,1944
1944-01-30,10.641666666666667,80.55166666666666,1944
1944-01-31,10.356521739130434,80.01608695652173,1944
1944-02-01,11.4625,71.95375,1944
1944-02-02,11.441666666666668,75.41625,1944
1944-02-03,11.221739130434784,78.32521739130435,1944
1944-02-04,11.9625,74.84916666666668,1944
1944-02-05,10.583333333333334,61.10333333333333,1944
1944-02-06,8.9,73.28916666666667,1944
1944-02-07,7.295833333333333,75.51166666666667,1944
1944-02-08,9.4,85.82478260869566,1944
1944-02-09,9.795833333333333,73.98875,1944
1944-02-10,9.875,77.26291666666667,1944
1944-02-11,7.295833333333333,78.61749999999999,1944
1944-02-12,5.325,89.55624999999999,1944
1944-02-13,6.660869565217391,90.6791304347826,1944
1944-02-14,6.933333333333334,81.845,1944
1944-02-15,6.491666666666666,88.27583333333332,1944
1944-02-16,7.466666666666666,82.37958333333333,1944
1944-02-17,7.566666666666666,85.84916666666668,1944
1944-02-18,9.0,78.49125,1944
1944-02-19,8.545833333333333,90.81833333333333,1944
1944-02-20,7.479166666666667,90.8925,1944
1944-02-21,8.020833333333334,83.08,1944
1944-02-22,9.04782608695652,80.05913043478262,1944
1944-02-23,10.966666666666667,69.7,1944
1944-02-24,14.445833333333333,73.15916666666668,1944
1944-02-25,10.700000000000001,71.9325,1944
1944-02-26,11.512500000000001,65.16250000000001,1944
1944-02-27,11.558333333333332,66.98583333333333,1944
1944-02-28,12.879166666666668,65.52916666666667,1944
1944-02-29,12.383333333333333,76.30916666666667,1944
1944-03-01,8.445833333333333,73.65916666666666,1944
1944-03-02,9.154166666666667,78.65249999999999,1944
1944-03-03,11.591666666666667,68.59125,1944
1944-03-04,14.012500000000001,74.10958333333333,1944
1944-03-05,8.133333333333333,80.21375,1944
1944-03-06,5.813043478260869,86.35434782608696,1944
1944-03-07,7.1125,79.96875,1944
1944-03-08,6.929166666666666,80.98083333333334,1944
1944-03-09,7.841666666666666,80.34916666666668,1944
1944-03-10,8.866666666666667,78.42708333333333,1944
1944-03-11,8.716666666666667,83.47833333333334,1944
1944-03-12,9.470833333333333,77.48791666666666,1944
1944-03-13,11.2125,71.64333333333333,1944
1944-03-14,12.916666666666666,73.3575,1944
1944-03-15,12.424999999999999,73.39999999999999,1944
1944-03-16,10.125,73.02041666666666,1944
1944-03-17,11.450000000000001,71.41250000000001,1944
1944-03-18,12.733333333333333,75.21583333333334,1944
1944-03-19,11.729166666666666,75.42958333333333,1944
1944-03-20,11.258333333333333,67.80208333333333,1944
1944-03-21,12.641666666666666,63.074999999999996,1944
1944-03-22,14.783333333333333,55.17625,1944
1944-03-23,12.200000000000001,69.14583333333333,1944
1944-03-24,10.820833333333333,58.05625,1944
1944-03-25,10.825000000000001,68.785,1944
1944-03-26,9.4375,56.384166666666665,1944
1944-03-27,12.970833333333333,67.80874999999999,1944
1944-03-28,13.129166666666668,72.56208333333333,1944
1944-03-29,12.804166666666667,62.65875,1944
1944-03-30,15.325000000000001,77.41125000000001,1944
1944-03-31,13.575000000000001,89.27583333333332,1944
1944-04-01,16.116666666666667,70.37666666666667,1944
1944-04-02,15.358333333333334,73.17291666666667,1944
1944-04-03,18.908333333333335,67.93375,1944
1944-04-04,19.770833333333332,64.33666666666666,1944
1944-04-05,17.379166666666666,71.62333333333333,1944
1944-04-06,15.391666666666666,78.25125,1944
1944-04-07,17.354166666666668,78.96916666666667,1944
1944-04-08,16.783333333333335,84.72875,1944
1944-04-09,16.179166666666667,81.56,1944
1944-04-10,16.220833333333335,73.45208333333333,1944
1944-04-11,16.566666666666666,70.735,1944
1944-04-12,16.366666666666667,80.195,1944
1944-04-13,14.654166666666667,87.02583333333332,1944
1944-04-14,15.137500000000001,80.17375,1944
1944-04-15,17.816666666666666,74.56208333333333,1944
1944-04-16,19.129166666666666,67.69500000000001,1944
1944-04-17,16.320833333333333,74.85333333333334,1944
1944-04-18,16.604166666666668,65.97416666666668,1944
1944-04-19,15.237499999999999,76.03625000000001,1944
1944-04-20,15.375,73.4575,1944
1944-04-21,14.941666666666668,77.12625,1944
1944-04-22,13.795833333333334,93.30125,1944
1944-04-23,16.575,86.05958333333332,1944
