Date,Temperature
01/01/2013 00:00,275.04
01/01/2013 01:00,274.26
01/01/2013 02:00,274.14
01/01/2013 03:00,274.42
01/01/2013 04:00,273.6
01/01/2013 05:00,274.16
01/01/2013 06:00,273.62
01/01/2013 07:00,274.12
01/01/2013 08:00,274.12
01/01/2013 09:00,273.96
01/01/2013 10:00,273.65
01/01/2013 11:00,273.59
01/01/2013 12:00,273.52
01/01/2013 13:00,273.77
01/01/2013 14:00,273.89
01/01/2013 15:00,273.56
01/01/2013 16:00,273.68
01/01/2013 17:00,274.15
01/01/2013 18:00,274.51
01/01/2013 19:00,274.68
01/01/2013 20:00,275.16
01/01/2013 21:00,275.59
01/01/2013 22:00,276.06
01/01/2013 23:00,275.92
