Date,Temperature
02/01/2013 00:00,275.14
02/01/2013 01:00,274.67
02/01/2013 02:00,274.27
02/01/2013 03:00,274.51
02/01/2013 04:00,273.98
02/01/2013 05:00,274.08
02/01/2013 06:00,273.86
02/01/2013 07:00,272.99
02/01/2013 08:00,272.75
02/01/2013 09:00,273.07
02/01/2013 10:00,272.92
02/01/2013 11:00,273.97
02/01/2013 12:00,273.15
02/01/2013 13:00,273.03
02/01/2013 14:00,272.86
02/01/2013 15:00,272.68
02/01/2013 16:00,272.75
02/01/2013 17:00,272.62
02/01/2013 18:00,273.25
02/01/2013 19:00,273.39
02/01/2013 20:00,273.7
02/01/2013 21:00,274.5
02/01/2013 22:00,274.55
02/01/2013 23:00,274.23
